"","x"
"309","B Science - Pathway to Teaching (Primary/Secondary)/M Teaching at Western Sydney University"
"310","Bachelor of Education (Primary) - ATSIE at Western Sydney University"
"311","B Arts (P Teach B-5Yrs/B-12Yrs)/M Teaching (B-5Yrs/B-12Yrs)Diploma Pwy at Western Sydney University"
"312","B Arts(Pathway Teaching Birth-5Yr/Birth-12Yr)/M Teaching(B-5Yr/B-12Yr)at Western Sydney University"
"313","Bachelor of Education (Secondary) B Arts in International Studies at University of Technology"
"314","Bachelor of Education(Primary) Bachelor of Arts in International Studies at University of Technology"
"315","Bachelor of Arts Bachelor of Education (Secondary) at University of Technology Sydney"
"316","Bachelor of Arts Bachelor of Education (Primary) at University of Technology Sydney"
"317","B Business (International Event Mgt) at Blue Mountains International Hotel Mgt School at TUA (DFEE)"
"318","Bachelor of Creative Technologies (Game Art) at Media Design School at TUA (DFEE)"
"319","Bachelor of Education (Secondary) - STEM Stream at University of Newcastle"
"320","Bachelor of Education (Secondary) - Humanities and Arts Stream at University of Newcastle"
"321","Bachelor of Education (Secondary) - Health and Physical Education Stream at University of Newcastle"
"322","Bachelor of Teaching (Early Childhood Education)by distance at Macquarie University"
"323","Bachelor of Teaching (Early Childhood Education)  at Macquarie University"
"324","Bachelor of Education (Early Childhood and Primary) at Charles Sturt University, Dubbo"
"325","Bachelor of Early Childhood Education (Birth to Five Years)at ACU, Online"
"326","Bachelor of Early Childhood Education (Birth to Five Years)at ACU, Strathfield campus"
"327","Bachelor of Inclusive Education and Disability Studies at ACU, Strathfield campus"
"328","Bachelor of Teaching/Bachelor of Arts (Secondary - Humanities) at ACU, Strathfield campus"
"329","Bachelor of Teaching/Bachelor of Arts (Secondary - Visual Arts) at ACU, Strathfield campus"
"330","Bachelor of Teaching/Bachelor of Arts (Secondary-Technology) at ACU, Strathfield campus"
"331","Bachelor of Early Childhood Education (Birth to Five Years)at ACU, North Sydney campus"
"332","Bachelor of Teaching/Bachelor of Arts (Secondary-Mathematics) at ACU, Strathfield Campus"
"333","Bachelor of Laws at Top Education Institute (DFEE)"
"334","Bachelor of International Business at Top Education Institute (DFEE)"
"335","Bachelor of Applied Finance and Accounting at Top Education Institute (DFEE)"
"336","B Secondary Education/B Mathematics & Computing Technology Studies at University of Canberra"
"337","Bachelor of Teaching (Early Childhood Education) Distance Education at Macquarie University"
"338","Bachelor of Science with Bachelor of Education (Secondary) at Macquarie University"
"339","Bachelor of Arts - Psychology with Bachelor of Education (Primary) at Macquarie University"
"340","Bachelor of Arts with Bachelor of Education (Secondary) at Macquarie University"
"341","Bachelor of Arts with Bachelor of Education (Primary) at Macquarie University"
"342","Bachelor of Medical Science (MD Provisional Entry for School Leavers) at Griffith University"
"343","Bachelor of Education (Health & Physical Education) at Charles Sturt University, Bathurst"
"344","Bachelor of Laws Pathway from Diploma of Business at Top Education Institute (DFEE)"
"345","Bachelor of Laws pathway from Bachelor of International Business at Top Education Institute (DFEE)"
"346","Diploma of Business at Top Education Institute (DFEE)"
"347","Diploma of Applied Finance and Accounting at Top Education Institute (DFEE)"
"348","Associate Degree of Aviation (Flight Operations) at CQUniversity, Distance Education"
"349","Bachelor of Media Arts (Honours)/Bachelor of Education (Secondary) at UNSW"
"350","Bachelor of Design (Honours)/Bachelor of Education (Secondary) at UNSW"
"351","Bachelor of Education - The Early Years (Dean's Scholar)(On campus) at University of Wollongong"
"352","Bachelor of Education - The Early Years (On campus) at University of Wollongong"
"353","Bachelor of Education (Secondary) Bachelor of Arts in International Studies at University of Technol"
"354","Bachelor of Education (Primary) Bachelor of Arts in International Studies at University of Technolog"
"355","Bachelor of Arts Bachelor of Education (K-12) at University of Technology Sydney"
"356","Bachelor of Education (Secondary) - Humanities and Art Stream at University of Newcastle"
"357","Bachelor of Education (Early Childhood Education)(Birth to 12)(Distance) at Macquarie University"
"358","Bachelor of Education (Early Childhood Education)(Birth to 12) at Macquarie University"
"359","Bachelor of Medical Laboratory Science (Honours) at CQUniversity, Distance Education"
"360","Bachelor of Aviation (Flight Operations) at CQUniversity, Distance Education"
"361","Bachelor of Teaching/Bachelor of Exercise Science at ACU, Canberra campus"
"362","Bachelor of Teaching/Bachelor of Arts (Secondary - Humanities) at ACU, Canberra campus"
"363","Bachelor of Teaching/Bachelor of Arts (Mathematics) at ACU, Strathfield Campus"
"364","Diploma of Early Childhood Education and Care at UOW College"
"365","Dip Design/B Graphic Design (Pathway to Teaching Secondary) at Western Sydney,The College"
"366","Diploma in Arts / Bachelor of Arts(Pathway to Teaching Birth-5/Birth-12) at Western Sydney, The Coll"
"367","Diploma in Arts/ Bachelor of Arts (Pathway to Teaching Secondary) at Western Sydney, The College"
